Model,Accuracy,Precision,Recall,F1 Score,AUC
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8434782608695651
Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623
Random Forest,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8300395256916996
