Method,Accuracy,Precision,Recall,F1 Score,AUC
Baseline Random Forest,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8300395256916996
Balanced Random Forest,0.7988826815642458,0.746268656716418,0.7246376811594203,0.7352941176470589,0.832608695652174
SMOTE Random Forest,0.7932960893854749,0.7285714285714285,0.7391304347826086,0.7338129496402878,0.8344532279314888
